,file_name,igt,merge,#gt,#pred,iou_score,dice_score,over_seg,under_seg,area_gt,area_pred,intersection,union,>0.25,>0.1,>0,>0.5
11,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0004_2019-03-04_S0016_T0001_1.2.840.113619.2.311.210774035936473802520286308482082015317.raw,1,0,1,6,0.007799368,0.015478017,119.7053634,0.058574453,2834,341913,2668,342079,0.00,0.00,1.00,0.00
12,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0006_2018-12-11_S0002_T0001_2.25.108874849861549283090706326591156975268.raw,1,0,1,7,0.699986369,0.823519978,0.189643718,0.167265613,191169,195447,159193,227423,1.00,1.00,1.00,1.00
13,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0006_2018-12-11_S0002_T0003_2.25.108874849861549283090706326591156975268.raw,1,0,1,7,0.174190214,0.296698459,0.214649459,0.788419951,14335,6110,3033,17412,1.00,1.00,1.00,0.00
14,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0006_2018-12-11_S0002_T0004_2.25.108874849861549283090706326591156975268.raw,1,0,1,7,0.343223196,0.511044177,1.792843691,0.041431262,531,1461,509,1483,1.00,1.00,1.00,1.00
15,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0006_2018-12-11_S0002_T0005_2.25.108874849861549283090706326591156975268.raw,1,0,1,7,0.475438393,0.644470681,0.085739503,0.483797756,7931,4774,4094,8611,1.00,1.00,1.00,1.00
16,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0006_2018-12-11_S0002_T0009_2.25.108874849861549283090706326591156975268.raw,1,0,1,7,0.003544558,0.007064076,257.2708058,0.084544254,757,195447,693,195511,0.00,0.00,1.00,0.00
17,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0006_2018-12-11_S0002_T0010_2.25.108874849861549283090706326591156975268.raw,1,0,1,7,0.001300443,0.002597508,218.0916201,0.715083799,895,195447,255,196087,0.00,0.00,1.00,0.00
18,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0008_2019-12-19_S0002_T0000_2.25.329961765794784273100950321132515057253.raw,1,0,1,6,0.708555961,0.829420841,0.383167911,0.019948131,51283,69910,50260,70933,1.00,1.00,1.00,1.00
19,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0008_2019-12-19_S0002_T0001_2.25.329961765794784273100950321132515057253.raw,1,0,1,6,0.43554007,0.606796117,0.993055556,0.131944444,144,268,125,287,1.00,1.00,1.00,1.00
20,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0008_2019-12-19_S0002_T0002_2.25.329961765794784273100950321132515057253.raw,1,0,1,6,0.176470588,0.3,4.082474227,0.103092784,194,966,174,986,1.00,1.00,1.00,0.00
21,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0008_2019-12-19_S0002_T0003_2.25.329961765794784273100950321132515057253.raw,1,0,1,6,0.333333333,0.5,0.11627907,0.627906977,258,126,96,288,1.00,1.00,1.00,0.00
22,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0009_2020-01-22_S0018_T0000_1.2.840.113619.2.452.3.1930043041.364.1579668060.479.3153927.raw,1,0,1,2,0.445585216,0.616477273,0.101809955,0.509049774,442,262,217,487,1.00,1.00,1.00,1.00
23,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0000_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.560630737,0.718466866,0.53117207,0.141577873,17644,24518,15146,27016,1.00,1.00,1.00,1.00
24,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0001_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.494749737,0.661983374,0.722511116,0.147788077,13269,20895,11308,22856,1.00,1.00,1.00,1.00
25,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0002_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.710495261,0.830748003,0.266494709,0.100161512,41483,48383,37328,52538,1.00,1.00,1.00,1.00
26,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0003_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.722492365,0.838891805,0.329344516,0.039558737,37438,48287,35957,49768,1.00,1.00,1.00,1.00
27,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0004_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.490294627,0.657983486,0.890563565,0.073066841,3052,5547,2829,5770,1.00,1.00,1.00,1.00
28,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0005_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.110137074,0.198420675,0.00577108,0.889227316,6238,727,691,6274,0.00,1.00,1.00,0.00
29,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0006_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.47826087,0.647058824,0.759562842,0.158469945,732,1172,616,1288,1.00,1.00,1.00,1.00
30,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0007_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.372521899,0.542828351,1.645121951,0.014634146,820,2157,808,2169,1.00,1.00,1.00,1.00
31,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0011_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.206415621,0.342196532,1.343137255,0.516339869,306,559,148,717,1.00,1.00,1.00,0.00
32,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0012_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0.31372549,0.47761194,2.167701863,0.00621118,161,509,160,510,1.00,1.00,1.00,0.00
33,/mnt/fast-disk1/mjc/AutoRecist/Inputs/ConvWeasisToRaw/PDS_AUTO_RECIST_RAW/pg2343_METNET0019_2020-01-07_S0005_T0013_1.2.840.113619.2.358.3.1930038689.921.1578372918.609.4202496.raw,1,0,1,22,0,0,0,1,105,0,0,105,0.00,0.00,0.00,0.00
